Rosyjski,Polski
дон,Przywdziewać
тысячи,tysiące
боб,fasola
ложь,kłamstwo
it,To
ёто,yoto
потеряла,zaginiony
взглянуть,spójrz
писать,pisać
мен,Ja
увидела,piła
передать,oddać
войти,Zaloguj się
везде,wszędzie
бобби,Konstabl
кое,Niektóre
солнце,Słoneczny
устал,zmęczony
сделку,umowa
настоящее,obecny
потеряли,zaginiony
мм,mm
класс,Klasa
смотрел,oglądałem
держите,trzymać się
закончил,gotowy
марк,Ocena
джерри,Nocnik
потрясающе,niesamowity
обещал,obiecał
убедиться,upewniać się
скажете,powiesz
факт,fakt
уничтожить,zniszczyć
страны,kraje
учитель,nauczyciel
полно,pełny
начинается,to się zaczyna
бежать,uruchomić
операции,operacje
сукин,sukinsyn
ошибку,błąd
украл,etola
данные,dane
двоих,dwa
света,Światło
запах,zapach
придурок,szarpać
найди,znajdować
лучшая,najlepszy
вернулись,zwrócony
убирайся,wysiadać
боишься,boisz się?
окно,okno
убийстве,morderstwo
ситуации,sytuacje
костюм,kostium
казалось,wydawało się
доказательства,dowód
обсудить,omówić
жил,żył
принимать,przyjąć
море,morze
оставила,lewy
судя,sądząc po
штука,rzecz
ситуация,sytuacja
возможности,możliwości
следы,ślady
генерал,Ogólny
рождество,Boże Narodzenie
платить,płacić
пытались,wypróbowany
забрал,wziął
эрик,Eric
самым,najbardziej
великолепно,wspaniały
песню,piosenka
билл,Rachunek
помогать,pomoc
по-прежнему,nadal
новость,aktualności
силу,siła
жертва,poświęcenie
баксов,kozły
другими,inni
обожаю,adorować
достать,dostać za swoje
вовремя,podczas
появился,pojawił się
кларк,Clark
тише,cichy
одежду,odzież
приходит,komes
расследование,dochodzenie
зато,Ale
девушкой,dziewczyna
яйца,jajka
зависит,zależy
принадлежит,należy
согласно,według
предложить,oferta
уровень,poziom
любила,kochany
вашему,twój
собака,pies
знак,podpisać
чисто,czysto
срочно,pilnie
начало,start
вне,poza
клуб,klub
искал,Szukałem
собираетесь,Czy zamierzasz?
души,dusze
расслабься,Zrelaksować się
супер,Super
ждал,czekał
неправда,nieprawda
доступ,dostęp
куча,sterta
туалет,toaleta
знакомы,znajomy
офисе,biuro
сука,suka
слегка,nieznacznie
ждут,czekanie
песня,piosenka
наверх,na górę
небольшой,mały
анна,Anna
красиво,Piękny
запись,nagranie
причины,powody
работала,pracował
ч,H
состояние,państwo
белый,biały
зайти,Proszę wejść
дважды,dwa razy
думай,myśleć
центр,centrum
дружище,kumpel
исправить,poprawić
джейк,Jake
использовал,używany
идешь,nadchodzisz
желание,życzenie
книга,książka
многих,wiele
разные,różny
полковник,Pułkownik
оказался,"okazało się, że"
идеи,pomysły
добраться,dotrzeć tam
нос,nos
возьмите,weź to
матерью,matka
суда,sądy
каково,jak to jest
сила,wytrzymałość
уходите,Zostawić
рука,ręka
повсюду,wszędzie
лучшие,najlepszy
сделано,zrobiony
взгляд,wzrok
наркотики,narkotyki
бери,weź to
судья,sędzia
чушь,nonsens
плохая,zły
система,system
практически,praktycznie
выходные,weekend
лили,Lilia
суде,w sądzie
еда,żywność
док,dokument
узнаю,Rozpoznaję
нож,nóż
написать,pisać
собиралась,miał zamiar
чай,herbata
о.,O.
глазах,oczy
остальное,odpoczynek
брак,małżeństwo
представляешь,możesz sobie wyobrazić
остальных,reszta
мимо,przeszłość
поеду,Pójdę
потерять,stracić
старые,stary
звук,dźwięk
частью,część
приехала,przybył
нет-нет,"nie, nie"
даст,da
спит,spanie
пытаешься,próbujesz
выглядеть,Patrzeć
беременна,w ciąży
увижу,zobaczę
спал,spał
вкус,smak
крис,Chris
поезд,pociąg
пиво,piwo
уехал,lewy
устроить,zorganizować
радио,radio
обе,Zarówno
команду,zespół
безумие,szaleństwo
решить,decydować
солдат,żołnierz
ме,Ja
мальчика,chłopiec
короля,król
проще,łatwiej
особо,zwłaszcza
х,X
ребенком,dziecko
дедушка,dziadek
мертва,martwy
церкви,kościoły
результаты,wyniki
имена,imiona
беспокойся,Nie martw się
неприятности,kłopoty
камеры,kamery
отправить,wysłać
брайан,Brian
здание,budynek
шон,Sean
возле,w pobliżu
защищать,chronić
плохие,zły
работают,pracują
нью-йорк,Nowy Jork
называть,dzwonić
третий,trzeci
способен,zdolny
удивительно,cudowny
смысла,oznaczający
долг,obowiązek
боли,ból
клэр,Klara
первую,Pierwszy
стыдно,zawstydzony
случиться,stać się
сестры,siostry
называют,oni dzwonią
райан,Ryan
счёт,sprawdzać
слушаю,Słucham
мартин,Jaskółka oknówka
возвращаться,wracać
выбрал,wybrał
черту,linia
инспектор,inspektor
земля,Ziemia
оказалось,okazało się
сходить,Iść
головой,głowa
плюс,plus
оружия,broń
музыку,muzyka
явно,oczywiście
сказано,powiedział
назвал,nazwany
стрелять,ogień
своём,w swoim własnym
столь,Więc
ушли,lewy
последняя,ostatni
лицом,twarz
решать,decydować
остались,pozostał
по-настоящему,naprawdę
заплатить,płacić
разу,raz
жене,do mojej żony
даю,Daję
центре,centrum
началось,zaczęło się
президента,prezydent
сообщить,raport
кучу,sterta
чтo,Co
звали,zwany
принял,przyjęty
придёт,przyjdzie
рода,rodzaj
справиться,poradzić sobie z
поцелуй,pocałunek
по-другому,różnie
сбежал,uciekł
еды,żywność
встречались,spotkałem
прошла,przeszedł
команде,zespół
оставлю,Wyjdę
ищем,szukamy
согласна,Zgadzać się
останусь,Zostanę
тест,test
прошлое,przeszłość
смотришь,Patrzeć
код,kod
двумя,dwa
шучу,żartuję
человеку,do osoby
выбраться,wysiadać
следовало,powinien mieć
продать,sprzedać
нe,NIE
которому,do kogo
звонила,zwany
поставить,umieścić
клиент,klient
здоровье,zdrowie
прочь,z dala
приду,Przyjdę
держу,Trzymam
поговорю,Porozmawiam
похожа,podobny
рассказывать,powiedzieć
играл,grał
стив,Steve
заставил,wymuszony
встретил,spotkałem
по-твоему,Twoim zdaniem
самолет,samolot
кости,kości
сбежать,uciec
прекратить,zatrzymywać się
уйду,Wyjdę
ъ,ъ
принесу,Przyniosę to
власти,władze
ушёл,lewy
остается,pozostaje
постели,łóżko
вернись,wracać
впереди,dalej
захочет,chce
реально,Naprawdę
двадцать,dwadzieścia
квартире,apartament
маленькой,mały
важное,ważny
ешь,jeść
бар,bar
жива,żywy
дает,daje
завтрак,śniadanie
любовью,Miłość
зря,darmo
